modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model3198,16.129,18.064,14.0,12.0,29.14,38.79,36.38,True,0.05025,0.9988,0.001207,294.2,293.6,343.035343035,0.0209082482266,16406.6993713,rela_nu,rela_f,rela_tp
model3199,18.064,16.77,16.0,12.0,37.58,32.16,35.78,False,0.05025,0.7383,0.001025,294.2,293.6,343.035343035,0.0154523224514,22199.5977701,rela_nu,rela_f,rela_tp
model3200,18.7096,15.1612,16.0,12.0,33.97,36.98,26.73,True,0.05025,0.6909,0.0009522,294.3,293.6,294.03029403,0.0144604060632,20333.4742292,rela_nu,rela_f,rela_tp
model3201,16.13,15.48,14.0,12.0,27.33,38.7936,26.127,True,0.05025,0.7528,0.001005,294.2,293.6,343.035343035,0.0157566427145,21770.8397182,rela_nu,rela_f,rela_tp
model3202,16.129,15.1613,14.0,12.0,26.7302,22.5079,35.7778,True,0.05025,0.7231,0.0006257,294.3,293.6,294.03029403,0.0151421190824,19418.0413211,rela_nu,rela_f,rela_tp
model3203,16.129,15.1613,14.0,12.0,38.7936,38.7936,38.1905,False,0.05025,0.578,0.0009001,294.3,293.6,294.03029403,0.0120952612546,24309.544692,rela_nu,rela_f,rela_tp
model3204,16.129,15.1613,14.0,12.0,38.7936,38.7936,38.1905,True,0.05025,0.5474,0.0008718,294.3,293.6,294.03029403,0.011454518294,25669.3722498,rela_nu,rela_f,rela_tp
model3205,15.0,15.0,12.0,12.0,38.7936,38.7936,38.1905,True,0.05025,0.6049,0.0009112,294.3,293.6,294.03029403,0.0126588175303,23227.3111866,rela_nu,rela_f,rela_tp
model3206,16.129,16.7742,14.0,12.0,35.7778,37.5873,31.5556,True,0.05025,0.6684,0.0009302,294.2,293.6,343.035343035,0.0139892964988,24521.2718927,rela_nu,rela_f,rela_tp
model3207,16.129,15.4838,14.0,12.0,38.7937,27.9365,35.7778,False,0.05025,0.6777,0.0009119,294.2,293.6,343.035343035,0.014184595914,24183.6528242,rela_nu,rela_f,rela_tp
model3208,16.129,15.4838,14.0,12.0,39.0,33.0,36.0,False,0.05025,0.6051,0.000925,294.3,293.6,294.03029403,0.0126627200395,23220.1527882,rela_nu,rela_f,rela_tp
model3209,19.0,15.0,16.0,12.0,25.0,26.0,31.0,True,0.05025,0.8068,0.001059,294.2,293.6,343.035343035,0.0168872805186,20313.2376855,rela_nu,rela_f,rela_tp
model3210,19.0,15.0,16.0,12.0,27.0,33.0,36.0,True,0.05025,0.6947,0.0006732,294.3,293.6,294.03029403,0.0145458965834,20213.9684099,rela_nu,rela_f,rela_tp
model3211,19.0,15.0,16.0,12.0,38.0,36.0,34.0,True,0.05025,0.6544,0.0009552,294.3,293.6,294.03029403,0.0136953507901,21469.351062,rela_nu,rela_f,rela_tp
model3212,18.7,15.16,16.0,12.0,37.5873,35.7778,39.3968,True,0.05025,0.5926,0.0008962,294.3,293.6,294.03029403,0.0124013399523,23709.5584156,rela_nu,rela_f,rela_tp
model3213,18.7,15.16,16.0,12.0,38.7936,33.9682,35.7778,False,0.05025,0.6179,0.000917,294.3,293.6,294.03029403,0.0129311590154,22738.1237584,rela_nu,rela_f,rela_tp
