modelName,	radius1,	radius2,	delta1,	delta2,	d1,	d2,	d3,	isCross,	                    flowrate,	P_in,	P_out,	T_wall,	T_fluid,	Nu,	friction,	tp,	rela_Nu,                    	rela_f,	rela_tp
model71,7.36266993138,16.9763648213,5.22335870752,9.59558159952,38.993754094,34.1853135807,27.7107124026,True,0.05025,1.245,0.0003275,294.4,293.6,257.276507277,0.0260867123074,9862.35843924,rela_nu,rela_f,rela_tp
model73,9.92873357186,14.8788327617,1.89687125072,12.0328431192,27.5828394874,28.6790722168,19.0748170491,True,0.05025,3.954,0.0005214,294.3,293.6,294.03029403,0.0828597553586,3548.52959386,rela_nu,rela_f,rela_tp
model74,6.87385046949,13.3374390644,3.64001232253,6.69951112753,18.632470901,31.8046446382,35.0508535077,True,0.05025,1.601,0.0003618,294.3,293.6,294.03029403,0.0335472891315,8764.65138144,rela_nu,rela_f,rela_tp
model75,11.9346612641,19.2859148704,11.6774651715,11.2253286727,12.2668498191,36.1846303898,25.2626424415,True,0.05025,2.376,0.000361,294.3,293.6,294.03029403,0.0497902951493,5905.37359035,rela_nu,rela_f,rela_tp
model76,5.58086986773,8.19660525258,5.33126546062,1.10846364883,13.342284775,17.2146720555,16.6598104469,True,0.05025,6.928,-1.565e-05,294.0,293.6,514.553014553,0.145202172557,3543.70052107,rela_nu,rela_f,rela_tp
model77,4.38220673068,18.9698746255,-0.73864911408,10.5058705286,13.9347555239,32.1796532823,29.1373862727,True,0.05025,3.795,0.0003594,294.3,293.6,294.03029403,0.0795307180339,3697.06575395,rela_nu,rela_f,rela_tp
model78,9.59911773497,14.4238255254,3.36417724715,5.84309626862,36.1228626131,36.9090545431,29.1979968216,True,0.05025,2.099,0.000368,294.3,293.6,294.03029403,0.0439845896997,6684.84794419,rela_nu,rela_f,rela_tp
model79,9.53196665566,5.93732099842,8.91130188544,-0.412993469488,32.7931243779,35.580333358,32.6597914651,True,0.05025,0.7434,0.0002968,294.5,293.6,228.69022869,0.0155744739223,14683.6567213,rela_nu,rela_f,rela_tp
model80,11.2053963671,9.32218348958,2.57241843836,2.03081831612,28.1255976571,34.251637144,24.4571801066,False,0.05025,4.64,0.000777,294.2,293.6,343.035343035,0.0972320636398,3528.00640235,rela_nu,rela_f,rela_tp
model81,8.22342624179,4.32627604699,2.38491346026,0.749138194625,17.5340028775,20.2239846758,15.1620766393,False,0.05025,3.47,0.0003278,294.2,293.6,343.035343035,0.0727198041913,4717.22038928,rela_nu,rela_f,rela_tp
model82,16.246582228,4.6299311682,10.2003594001,-2.90360643128,37.8249374327,20.332252426,28.6193421863,False,0.05025,2.568,0.0003123,294.2,293.6,343.035343035,0.0538153854328,6374.29873031,rela_nu,rela_f,rela_tp
model83,19.8106777968,5.06024452017,19.7201321295,0.397442917391,9.63310706684,18.303911172,34.4379229609,True,0.05025,0.9864,0.0002375,294.5,293.6,228.69022869,0.0206686798542,11064.5784009,rela_nu,rela_f,rela_tp
