ModelNumber, Radius1, Radius2, delta1, delta2, d1, d2, d3, isCross

0,11.74173514102884,5.213440615939938,7.2417005352373955,-1.9538142775365137,35.21887168547554,26.868589178608246,20.07154844406204,True
1,10.0,18.0,8.0,12.0,20.0,20.0,25.0,True
2,10.0,18.0,8.0,12.0,20.0,20.0,25.0,True
3,10.0,18.0,8.0,12.0,20.0,20.0,25.0,False
4,10.0,18.0,8.0,12.0,20.0,30.0,25.0,False
5,10.0,18.0,8.0,12.0,20.0,30.0,25.0,False
6,10.0,18.0,8.0,12.0,20.0,30.0,25.0,False
7,10.0,18.0,8.0,12.0,20.0,30.0,25.0,False
8,10.0,18.0,8.0,12.0,20.0,30.0,25.0,True
9,16.0,18.0,12.0,12.0,20.0,30.0,25.0,True
10,16.0,18.0,12.0,12.0,20.0,30.0,25.0,False
11,16.0,18.0,12.0,12.0,33.0,30.0,25.0,False
12,16.0,18.0,13.0,15.0,33.0,30.0,25.0,False
13,17.0,15.0,14.0,12.0,31.0,36.0,36.0,True
14,17.0,15.0,14.0,12.0,31.0,36.0,36.0,True
15,19.0,10.0,14.0,6.0,37.0,31.0,26.0,True
16,10.0,10.0,8.0,8.0,10.0,10.0,15.0,True
17,10.0,10.0,8.0,8.0,15.0,15.0,15.0,True
18,10.0,10.0,6.0,6.0,20.0,20.0,20.0,True
